index,text,true_label,predicted_label,category
42486,Well it has been a good weekend! Plenty of rest and work done.  Back to the drawing board.  ,negative,positive,mixed
73332,wants to just sleep until tomorrow night ,positive,negative,other
170507,@LittleBitTwistd Isn't Joe the HH?? Holy HOTness? ,positive,negative,intensification
196768,Disgracefull. IKEA have put the price of breakfast up by 55%. ,negative,positive,intensification
107884,"even though much better is bashing my favourite person ever, @taylorswift13 i cant help but love it. sorry ",negative,positive,contrast
67897,"It's the middle of the night and Twitter is FINALLY acting nice for me.  Now that no one's awake, of course. ",negative,positive,other
173954,@torilovesbradie hes kgjkcvhjvhkj     http://bit.ly/AbKRh  but thats not......hah,positive,negative,informal
186590,@PorchaBaby She's gorgeous!!!! Damn does time fly! ,negative,positive,intensification
186153,"@misslion89 Sorry about the retard time thing, I just happen to be endlessly in love with a guy who lives here. ",positive,negative,informal
159855,"one year down, like - 1 million more to go ",positive,negative,sarcasm
140518,"@Johnboyy I get those emails at work all the time! 99% turn out to be spam, but one day... ",positive,negative,other
34703,This will be a lonnnnnggggg night!  Well since yep I had a few NAPS! uggghh! I guess I must deal with it!  ,negative,positive,elongation
112125,@wesupportniley It`s looks like 1996 is to young or that Sweden not is able to vote ,negative,positive,sarcasm
23113,@shownalejallah im not hurting anyone   why would I?,positive,negative,negation
70452,@andrewgoldstein http://twitpic.com/6at98 - Beautiful - i see Streets When i look around ,negative,positive,other
36502,"@geekgirl444 fuck them, they're the ones missing out ",positive,negative,informal
191656,watching swades; what a preachy film ,negative,positive,other
116386,My new camera took a 100ft tumble down a crag. Somehow it still works ,positive,negative,other
53417,@DHanly No... But it was announced today ,positive,negative,negation
155244,@YueChen888 nice helaas du wilt toch nooit chickflick met my kyken ,negative,positive,informal
