index,fold
11,0
12,1
25,2
26,1
46,1
57,2
58,1
59,2
72,1
76,0
81,2
107,0
113,2
118,1
120,1
126,2
129,1
134,1
136,0
138,0
145,0
147,1
158,2
163,0
179,1
191,0
210,0
221,1
224,0
225,0
228,1
237,1
248,1
256,1
263,1
264,2
265,1
266,1
281,1
294,1
297,1
313,2
317,0
319,1
331,2
354,0
359,2
366,1
372,0
377,0
379,2
388,0
399,1
402,2
403,0
416,2
433,1
435,2
446,1
448,1
454,1
467,1
472,1
474,1
500,1
504,2
516,0
521,1
526,0
533,1
536,0
538,0
550,1
560,2
566,0
578,0
605,1
607,2
610,1
613,1
616,2
623,1
633,2
636,2
642,2
645,2
650,1
652,0
656,1
657,1
664,1
666,1
668,0
677,0
692,0
695,0
701,2
706,2
709,1
715,2
716,0
721,1
747,1
751,1
770,1
782,1
784,2
793,2
795,2
802,0
816,1
819,0
822,1
823,1
831,0
832,0
833,1
847,1
849,1
857,2
861,0
866,1
873,0
875,2
883,1
887,2
898,2
904,2
911,0
915,1
930,2
931,0
939,0
945,2
946,0
947,1
949,0
959,0
962,0
966,1
967,1
978,0
982,1
992,2
1002,0
1027,1
1036,1
1040,2
1053,0
1061,1
1077,1
1084,0
1108,0
1113,2
1123,1
1125,1
1133,0
1136,0
1146,0
1151,0
1154,0
1161,1
1172,1
1188,1
1202,0
1213,1
1222,0
1236,2
1238,0
1240,1
1241,1
1269,0
1275,0
1284,0
1285,1
1288,1
1292,1
1293,1
1299,2
1303,2
1313,2
1318,0
1325,2
1328,0
1332,0
1336,2
1343,2
1349,0
1350,2
1357,2
1373,1
1382,1
1392,0
1407,2
1409,1
1417,1
1422,0
1427,1
1429,1
1438,0
1444,2
1446,0
1458,2
1463,1
1469,1
1488,1
1490,1
1492,1
1493,1
1515,1
1518,2
1526,0
1534,0
1535,0
1545,2
1550,1
1564,1
1575,1
1577,2
1584,0
1598,1
1609,2
1613,0
1624,1
1633,2
1639,0
1641,1
1653,1
1654,1
1659,0
1660,2
1661,1
1662,2
1666,1
1667,2
1678,2
1679,0
1682,0
1683,2
1686,1
1690,0
1703,2
1704,1
1720,2
1723,2
1726,0
1728,1
1729,2
1736,2
1747,2
1750,2
1756,2
1765,1
1775,0
1781,1
1790,0
1807,1
1809,1
1812,2
1817,2
1823,1
1826,0
1829,2
1837,2
1839,2
1852,1
1862,1
1884,2
1888,2
1908,1
1914,0
1919,1
1923,0
1925,2
1928,0
1929,2
1931,0
1946,2
1947,0
1949,2
1956,2
1959,2
1969,1
1976,2
1977,1
1980,2
1986,0
2006,2
2016,2
2037,0
2058,0
2070,2
2071,2
2076,1
2098,2
2099,2
2109,2
2117,1
2123,0
2124,0
2143,0
2149,0
2162,2
2172,2
2178,1
2184,1
2195,0
2203,1
2205,1
2207,1
2226,0
2236,0
2238,0
2241,1
2254,2
2258,1
2262,2
2273,1
2276,2
2291,2
2293,1
2295,0
2305,1
2307,0
2320,2
2324,0
2338,2
2339,1
2355,1
2358,0
2362,1
2381,2
2383,0
2385,0
2388,0
2390,1
2391,2
2395,2
2400,2
2406,2
2408,2
2413,0
2414,0
2423,1
2425,1
2429,0
2431,1
2436,1
2438,1
2473,0
2484,0
2489,1
2490,1
2492,2
2505,1
2514,1
2522,0
2529,2
2537,0
2549,1
2552,2
2554,0
2566,2
2571,2
2574,2
2575,1
2582,1
2587,2
2593,1
2617,0
2622,0
2627,0
2631,2
2635,2
2647,2
2648,0
2653,1
2655,0
2670,0
2676,0
2680,0
2685,2
2689,2
2690,2
2697,2
2699,0
2715,2
2726,2
2727,1
2740,0
2768,0
2769,1
2778,1
2788,1
2791,0
2814,2
2817,1
2822,0
2826,0
2831,2
2837,1
2841,1
2853,0
2855,1
2856,0
2864,2
2872,1
2873,2
2890,0
2894,1
2896,1
2902,2
2903,1
2905,0
2910,1
2926,0
2929,0
2933,0
2936,2
2937,2
2939,1
2945,2
2948,0
2955,0
2963,2
2968,0
2973,2
2976,2
2978,2
2985,2
2996,0
3028,2
3030,1
3033,0
3037,0
3038,0
3042,0
3043,1
3048,1
3080,2
3086,0
3095,0
3096,0
3101,1
3102,2
3104,1
3110,2
3117,1
3119,2
3130,0
3135,0
3147,1
3149,2
3151,1
3159,0
3162,1
3174,2
3177,0
3181,1
3201,0
3206,0
3210,0
3213,1
3219,1
3223,2
3224,2
3230,1
3231,0
